,NAME,RAJ,DECJ,PMRA,PMDEC,P0,P1,F0,F1,F2,S400,S1400,S2000,BINARY,DIST,DIST_DM,R_LUM,R_LUM14,AGE,F_GW,h_max,h_min,Searched in O3 (targeted),suggested_pipeline,Tfft from err pos [day],outliers,upper_limits,standard_deviation_UL,f range or resolution [Hz],fdot range or resolution [Hz/s]
0,J1757-2745,17:57:55,-27:45:40,-11.4,54,0.017687,-1.30E-20,56.538013,4.17E-17,-4.70E-26,,0.07,,,"8,208","8,208",,4.72,,113.076026,1.96E-24,1.51E-24,No,NB,1.40E+05,no,2.62E-26,6.07E-28,2.76E-01,2.13E-14
1,B1639+36A/J1641+3627A,16:41:41,#N/A,,,0.010378,-7.27E-20,96.362235,6.75E-16,,3,0.14,,,7.1,6.736,151,7.06,,192.72447,2.92E-24,2.50E-24,No,NB,2.56E+05,no,2.38E-26,5.36E-28,5.75E-01,2.13E-14
2,J1748-2446C,17:48:05,-24:46:36,,,0.008436,-6.06E-19,118.538253,8.52E-15,,,,,,6.9,"4,385",,,,237.076506,6.31E-24,6.10E-24,No,NB,1.06E+03,no,3.05E-26,7.56E-28,1.38E-01,2.13E-14
3,J1910-5959B,19:10:52,-59:59:01,,,0.008358,-7.90E-19,119.648733,1.13E-14,,,0.05,,,4,"1,631",,0.8,,239.297466,1.19E-23,1.19E-23,No,NB,2.16E+04,no,2.32E-26,5.24E-28,6.08E-01,2.13E-14
4,J1801-0857A,18:01:51,-8:57:32,,,0.007176,-5.10E-19,139.360885,9.91E-15,,,0.04,0.02,,10.6,"6,684",,4.04,,278.72177,3.22E-24,3.12E-24,No,NB,5.70E+04,no,3.44E-26,7.68E-28,2.89E-01,2.13E-14
5,J1748-2021C,17:48:51,-20:21:54,,,0.006227,-5.98E-20,160.59271,1.54E-15,,,,0.04,,8.5,"9,318",,,,321.18542,1.34E-24,1.17E-24,No,NB,34905.85004,no,2.52E-26,5.88E-28,4.40E-01,2.13E-14
6,B0021-72C/J0024-7204C,0:23:50,-72:04:32,5.2,-3.1,0.005757,-4.99E-20,173.708219,1.50E-15,1.30E-27,1.53,0.52,0.23,,4.69,"2,594",33.7,11.4,,347.416438,2.07E-24,1.79E-24,No,NB,58172.14968,no,2.42E-26,5.46E-28,6.47E-01,2.13E-14
7,J1911+0101B,19:11:13,#N/A,,,0.005384,-2.00E-21,185.724277,6.90E-17,,,,,,7.4,8.681,,,,371.448554,2.80E-25,2.13E-25,No,NB,7478.528527,no,2.73E-26,6.04E-28,6.47E-01,2.13E-14
8,B0021-72D/J0024-7204D,0:24:14,-72:04:44,4.24,-2.24,0.005358,-3.42E-21,186.65167,1.19E-16,-1.20E-27,0.95,0.35,0.2,,4.69,2.631,20.9,7.7,,373.30334,5.61E-25,4.38E-25,No,NB,85852.49959,no,2.55E-26,5.82E-28,6.16E-01,2.13E-14
9,J0024-7204Z,0:24:06,-72:05:01,4,1,0.004554,-4.54E-21,219.565606,2.19E-16,8.00E-27,,,,,4.69,"2,559",,,,439.131212,5.45E-25,4.34E-25,No,NB,2142.362408,no,2.59E-26,6.03E-28,3.58E-01,2.13E-14
10,B0021-72L/J0024-7204L,0:24:04,-72:04:57,4.4,-2.4,0.004346,-1.22E-19,230.087746,6.46E-15,-1.30E-27,,,,,4.69,2.547,,,,460.175492,2.33E-24,2.15E-24,No,NB,18090.7995,no,2.66E-26,6.19E-28,4.25E-01,2.13E-14
11,B0021-72G/J0024-7204G,0:24:08,-72:04:40,4.5,-2.9,0.00404,-4.22E-20,247.501525,2.58E-15,6.00E-27,,,,,4.69,"2,556",,,,495.00305,1.34E-24,1.18E-24,No,NB,43902.11272,no,2.72E-26,6.75E-28,1.66E-01,2.13E-14
12,J1801-0857C,18:01:51,-8:57:33,,,0.003739,-6.39E-20,267.472675,4.57E-15,,,0.01,0.01,,10.6,6.667,,1.35,,534.94535,6.62E-25,5.96E-25,No,NB,42619.66096,no,3.82E-26,8.89E-28,1.22E-01,2.13E-14
13,B0021-72M/J0024-7204M,0:23:54,-72:05:31,5,-2,0.003677,-3.84E-20,271.987229,2.84E-15,7.00E-27,,,,,4.69,"2,553",,,,543.974458,1.17E-24,1.03E-24,No,NB,15324.19669,no,2.77E-26,6.57E-28,2.00E-01,2.13E-14
14,J1836-2354B,18:36:24,-23:54:29,,,0.003232,-4.80E-22,309.379715,4.59E-17,,,0.04,0.04,,3.2,"3,465",,0.41,,618.75943,1.64E-25,1.49E-25,No,NB,453.344888,no,4.14E-26,9.38E-28,2.61E-01,2.13E-14
15,B0021-72N/J0024-7204N,0:24:09,-72:04:29,6.3,-2.8,0.003054,-2.19E-20,327.444319,2.34E-15,-9.00E-27,,,,,4.69,"2,589",,,,654.888638,6.91E-25,6.51E-25,No,NB,14859.95303,no,2.81E-26,7.26E-28,3.28E-01,2.13E-14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,analysis running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,human needed to do the proper analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UL calculation to be sent/ongoing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UL from other analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,binary pulsar not analysed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,