,NAME,RAJ,DECJ,PMRA,PMDEC,P0,P1,F0,F1,F2,DIST,DIST_DM,R_LUM,R_LUM14,AGE
1,B0021-72C,00:23:50.3,-72:04:31.5,5.200,-3.100,0.005757,-4.99e-20,173.708219,1.504e-15,1.300e-27,4.690,2.594,3.37e+01,1.14e+01,
2,B0021-72D,00:24:13.8,-72:04:43.8,4.240,-2.240,0.005358,-3.42e-21,186.651670,1.192e-16,-1.200e-27,4.690,2.631,2.09e+01,7.70e+00,
3,B0021-72G,00:24:07.9,-72:04:39.7,4.500,-2.900,0.004040,-4.22e-20,247.501525,2.583e-15,6.000e-27,4.690,2.556,,,
4,B0021-72H,00:24:06.7,-72:04:06.8,5.100,-2.800,0.003210,-1.83e-21,311.493418,1.775e-16,1.600e-25,4.690,2.541,,,
5,B0021-72I,00:24:07.9,-72:04:39.6,5.000,-2.100,0.003485,-4.59e-20,286.944700,3.777e-15,-3.350e-26,4.690,2.555,,,
6,B0021-72J,00:23:59.4,-72:03:58.7,5.270,-3.590,0.002101,-9.79e-21,476.046858,2.219e-15,2.000e-26,4.690,2.594,,9.68e+00,
7,B0021-72L,00:24:03.7,-72:04:56.9,4.400,-2.400,0.004346,-1.22e-19,230.087746,6.461e-15,-1.300e-27,4.690,2.547,,,
8,B0021-72M,00:23:54.4,-72:05:30.7,5.000,-2.000,0.003677,-3.84e-20,271.987229,2.842e-15,7.000e-27,4.690,2.553,,,
9,B0021-72N,00:24:09.1,-72:04:28.8,6.300,-2.800,0.003054,-2.19e-20,327.444319,2.343e-15,-9.000e-27,4.690,2.589,,,
10,J0024-7204S,00:24:03.9,-72:04:42.3,4.500,-2.500,0.002830,-1.21e-19,353.306209,1.505e-14,-7.800e-27,4.690,2.542,,,
11,J0024-7204W,00:24:06.0,-72:04:49.0,6.100,-2.600,0.002352,-8.66e-20,425.107796,1.564e-14,,4.690,2.539,,,
12,J0024-7204Y,00:24:01.4,-72:04:41.8,4.400,-3.400,0.002197,-3.52e-20,455.237178,7.289e-15,-2.110e-26,4.690,2.563,,,
13,J0024-7204Z,00:24:06.0,-72:05:01.4,4.000,1.000,0.004554,-4.54e-21,219.565606,2.190e-16,8.000e-27,4.690,2.559,,,
14,J1144-6146,11:44:34.8,-61:46:49,,,0.987783,-3.81e-17,1.012368,3.900e-17,,1.395,1.395,,8.76e-01,
15,B1516+02B,15:18:31.4,+02:05:15.4,,,0.007947,-3.33e-21,125.834588,5.273e-17,,7.500,13.608,2.81e+01,1.41e+00,
16,B1639+36A,16:41:40.8,+36:27:14.9,,,0.010378,-7.27e-20,96.362235,6.750e-16,,7.100,6.736,1.51e+02,7.06e+00,
17,B1639+36B,16:41:40.3,+36:25:58.4,,,0.003528,-1.49e-22,283.440943,1.200e-17,,7.100,4.823,,1.11e+00,
18,J1641+3627D,16:41:42.3,+36:27:28.2,,,0.003118,-2.35e-20,320.688696,2.420e-15,,7.100,6.777,,1.21e+00,
19,J1701-3006A,17:01:12.5,-30:06:30.1,,,0.005242,-1.30e-19,190.782671,4.735e-15,,7.050,4.880,,1.99e+01,
20,J1701-3006B,17:01:12.6,-30:06:49.0,,,0.003594,-3.48e-19,278.252962,2.697e-14,,7.050,4.901,,1.49e+01,
21,J1701-3006C,17:01:12.8,-30:06:59.4,,,0.007613,-6.41e-20,131.356873,1.107e-15,,7.050,4.834,,1.49e+01,
22,J1748-2021B,17:48:52.9,-20:21:38.8,,,0.016760,-3.29e-19,59.665418,1.172e-15,,8.500,8.699,,,
23,J1748-2021C,17:48:51.1,-20:21:53.8,,,0.006227,-5.98e-20,160.592710,1.543e-15,,8.500,9.318,,,
24,J1748-2021F,17:48:52.3,-20:21:39.3,,,0.003794,-1.05e-20,263.599833,7.330e-16,,8.500,8.657,,,
25,B1744-24A,17:48:02.2,-24:46:36.9,,,0.011563,-3.40e-20,86.481637,2.543e-16,,6.900,4.439,,2.90e+01,
26,J1748-2446C,17:48:04.5,-24:46:36,,,0.008436,-6.06e-19,118.538253,8.515e-15,,6.900,4.385,,,
27,J1748-244am,17:48:04.8,-24:46:47.2,,,0.002934,-1.37e-19,340.852555,1.589e-14,,4.395,4.395,,,
28,J1748-3009,17:48:23.7,-30:09:11.2,,,0.009684,-3.58e-20,103.263527,3.817e-16,-2.200e-26,5.053,5.053,,3.57e+01,
29,J1750-3703C,17:50:13.4,-37:03:05.5,,,0.026569,-9.96e-19,37.638304,1.411e-15,,11.600,13.087,,,
30,J1753-2819,17:53:56.1,-28:19:30.0,,,0.018624,-4.94e-20,53.695220,1.423e-16,,4.143,4.143,,2.40e+00,
31,J1757-2745,17:57:54.7,-27:45:40.1,-11.400,54.000,0.017687,-1.30e-20,56.538013,4.170e-17,-4.700e-26,8.208,8.208,,4.72e+00,
32,J1801-0857A,18:01:50.6,-08:57:31.8,,,0.007176,-5.10e-19,139.360885,9.912e-15,,10.600,6.684,,4.04e+00,
33,J1801-0857C,18:01:50.7,-08:57:32.6,,,0.003739,-6.39e-20,267.472675,4.573e-15,,10.600,6.667,,1.35e+00,
34,J1801-0857E,18:01:50.6,-08:57:31.2,,,0.007602,-1.04e-18,131.550032,1.794e-14,,10.600,6.759,,,
35,J1801-0857F,18:01:50.7,-08:57:31.2,,,0.024892,-2.67e-18,40.173574,4.312e-15,,10.600,6.806,,,
36,J1804-2858,18:04:01.5,-28:58:46.6,-6.400,-11.000,0.001493,-7.57e-22,669.933583,3.399e-16,-2.600e-25,8.237,8.237,,6.23e+01,
37,J1807-2459A,18:07:20.3,-24:59:52.9,,,0.003059,-4.34e-21,326.856263,4.632e-16,,3.000,3.015,,9.90e+00,
38,J1817-0743,18:17:49.7,-07:43:18.9,,,0.438095,-2.30e-18,2.282608,1.200e-17,,0.195,0.195,,9.51e-03,
39,J1823-3021G,18:23:40.7,-30:21:35.6,,,0.006091,-1.78e-20,164.168746,4.800e-16,,7.900,3.118,,2.93e+00,
40,J1829-1011,18:29:06.0,-10:11:25,,,0.829166,-5.00e-18,1.206031,7.273e-18,,4.938,4.938,,6.10e+00,
41,J1836-2354B,18:36:24.3,-23:54:28.7,,,0.003232,-4.80e-22,309.379715,4.594e-17,,3.200,3.465,,4.10e-01,
42,J1853-0842A,18:53:04.0,-08:42:28.2,,,0.002149,-2.39e-21,465.238972,5.180e-16,,4.753,4.753,,3.64e-01,
43,J1910-5959B,19:10:52.0,-59:59:00.8,,,0.008358,-7.90e-19,119.648733,1.132e-14,,4.000,1.631,,8.00e-01,
44,J1910-5959E,19:10:52.1,-59:59:02.0,,,0.004572,-4.34e-19,218.733858,2.078e-14,,4.000,1.634,,1.12e+00,
45,B1908+00A,19:11:11.0,+01:02:09.7,,,0.003619,-6.58e-21,276.355755,5.025e-16,,7.400,9.199,,,
46,J1911+0101B,19:11:12.5,+01:01:50.4,,,0.005384,-2.00e-21,185.724277,6.899e-17,,7.400,8.681,,,
47,B2127+11A,21:29:58.2,+12:10:01.2,-0.540,-4.330,0.110665,-2.10e-17,9.036305,1.717e-15,,10.400,25.000,1.84e+02,2.16e+01,
48,B2127+11D,21:29:58.2,+12:09:59.7,,,0.004803,-1.08e-18,208.211688,4.660e-14,,10.400,25.000,3.68e+01,,
49,J2140-2310A,21:40:22.4,-23:10:48.7,,,0.011019,-5.18e-20,90.749627,4.267e-16,,8.100,3.114,,5.25e+00,
